"filename", "language", "JavaScript", "TypeScript", "JSON with Comments", "TypeScript JSX", "JSON", "CSS", "Markdown", "comment", "blank", "total"
"r:\Code\Javascript\Nextjs\foodica\src\components\BlogForm\schemas.ts", "TypeScript", 0, 156, 0, 0, 0, 0, 0, 0, 5, 161
"r:\Code\Javascript\Nextjs\foodica\src\components\BlogPostPage\BlogPost\BlogComments.tsx", "TypeScript JSX", 0, 0, 0, 79, 0, 0, 0, 0, 13, 92
"r:\Code\Javascript\Nextjs\foodica\src\components\BlogPostPage\BlogPost\BlogConclusion.tsx", "TypeScript JSX", 0, 0, 0, 19, 0, 0, 0, 0, 2, 21
"r:\Code\Javascript\Nextjs\foodica\src\components\BlogPostPage\BlogPost\BlogDescription.tsx", "TypeScript JSX", 0, 0, 0, 99, 0, 0, 0, 0, 6, 105
"r:\Code\Javascript\Nextjs\foodica\src\components\BlogPostPage\BlogPost\BlogDistribution.tsx", "TypeScript JSX", 0, 0, 0, 59, 0, 0, 0, 0, 11, 70
"r:\Code\Javascript\Nextjs\foodica\src\components\BlogPostPage\BlogPost\BlogPost.tsx", "TypeScript JSX", 0, 0, 0, 36, 0, 0, 0, 0, 2, 38
"r:\Code\Javascript\Nextjs\foodica\src\components\BlogPostPage\BlogPost\ChangeBlogsButton.tsx", "TypeScript JSX", 0, 0, 0, 33, 0, 0, 0, 0, 3, 36
"r:\Code\Javascript\Nextjs\foodica\src\components\BlogPostPage\BlogPost\Comment.tsx", "TypeScript JSX", 0, 0, 0, 59, 0, 0, 0, 0, 7, 66
"r:\Code\Javascript\Nextjs\foodica\src\components\BlogPostPage\BlogPost\CommentHeader.tsx", "TypeScript JSX", 0, 0, 0, 90, 0, 0, 0, 0, 4, 94
"r:\Code\Javascript\Nextjs\foodica\src\components\BlogPostPage\BlogPost\CommentInput.tsx", "TypeScript JSX", 0, 0, 0, 157, 0, 0, 0, 1, 17, 175
"r:\Code\Javascript\Nextjs\foodica\src\components\BlogPostPage\BlogPost\CommentMessage.tsx", "TypeScript JSX", 0, 0, 0, 49, 0, 0, 0, 0, 6, 55
"r:\Code\Javascript\Nextjs\foodica\src\components\BlogPostPage\BlogPost\CommentSection.tsx", "TypeScript JSX", 0, 0, 0, 71, 0, 0, 0, 0, 10, 81
"r:\Code\Javascript\Nextjs\foodica\src\components\BlogPostPage\BlogPost\OtherAuthorBlogs.tsx", "TypeScript JSX", 0, 0, 0, 149, 0, 0, 0, 0, 13, 162
"r:\Code\Javascript\Nextjs\foodica\src\components\BlogPostPage\BlogPost\RelatedPosts.tsx", "TypeScript JSX", 0, 0, 0, 94, 0, 0, 0, 0, 3, 97
