"filename", "language", "TypeScript", "TypeScript JSX", "JavaScript", "JSON", "CSS", "JSON with Comments", "Markdown", "comment", "blank", "total"
"r:\Code\Javascript\Nextjs\foodica\src\components\BlogPostPage\BlogPost\OtherAuthorBlogs.tsx", "TypeScript JSX", 0, 118, 0, 0, 0, 0, 0, 16, 10, 144
"r:\Code\Javascript\Nextjs\foodica\src\components\BlogPostPage\BlogPost\RelatedPosts.tsx", "TypeScript JSX", 0, 49, 0, 0, 0, 0, 0, 0, 2, 51
"r:\Code\Javascript\Nextjs\foodica\src\components\BlogPostPage\BlogPost\TagList.tsx", "TypeScript JSX", 0, 31, 0, 0, 0, 0, 0, 0, 4, 35
"r:\Code\Javascript\Nextjs\foodica\src\components\BlogPostPage\RecipeCard\RecipeCard.tsx", "TypeScript JSX", 0, 23, 0, 0, 0, 0, 0, 0, 2, 25
"r:\Code\Javascript\Nextjs\foodica\src\components\BlogPostPage\RecipeCard\RecipeDetails.tsx", "TypeScript JSX", 0, 67, 0, 0, 0, 0, 0, 0, 3, 70
"r:\Code\Javascript\Nextjs\foodica\src\components\BlogPostPage\RecipeCard\RecipeHeading.tsx", "TypeScript JSX", 0, 45, 0, 0, 0, 0, 0, 0, 3, 48
"r:\Code\Javascript\Nextjs\foodica\src\components\BlogPostPage\RecipeCard\RecipeImage.tsx", "TypeScript JSX", 0, 16, 0, 0, 0, 0, 0, 0, 2, 18
"r:\Code\Javascript\Nextjs\foodica\src\components\BlogPostPage\RecipeCard\RecipeIngredients.tsx", "TypeScript JSX", 0, 84, 0, 0, 0, 0, 0, 3, 8, 95
"r:\Code\Javascript\Nextjs\foodica\src\components\BlogPostPage\RecipeCard\RecipeInstructions.tsx", "TypeScript JSX", 0, 21, 0, 0, 0, 0, 0, 0, 2, 23
"r:\Code\Javascript\Nextjs\foodica\src\components\Bloglist\Bloglist.tsx", "TypeScript JSX", 0, 72, 0, 0, 0, 0, 0, 0, 9, 81
"r:\Code\Javascript\Nextjs\foodica\src\components\Bloglist\Pagination\DirectionIcon.tsx", "TypeScript JSX", 0, 22, 0, 0, 0, 0, 0, 0, 1, 23
"r:\Code\Javascript\Nextjs\foodica\src\components\Bloglist\Pagination\Pagination.tsx", "TypeScript JSX", 0, 31, 0, 0, 0, 0, 0, 0, 2, 33
"r:\Code\Javascript\Nextjs\foodica\src\components\Bloglist\Pagination\PaginationButton.tsx", "TypeScript JSX", 0, 33, 0, 0, 0, 0, 0, 0, 3, 36
"r:\Code\Javascript\Nextjs\foodica\src\components\Bloglist\Pagination\PaginationButtons.tsx", "TypeScript JSX", 0, 56, 0, 0, 0, 0, 0, 0, 11, 67
"r:\Code\Javascript\Nextjs\foodica\src\components\Bloglist\Pagination\PaginationDirectionButton.tsx", "TypeScript JSX", 0, 47, 0, 0, 0, 0, 0, 0, 6, 53
"r:\Code\Javascript\Nextjs\foodica\src\components\ClickableName.tsx", "TypeScript JSX", 0, 15, 0, 0, 0, 0, 0, 0, 2, 17
"r:\Code\Javascript\Nextjs\foodica\src\components\ClickableTag.tsx", "TypeScript JSX", 0, 18, 0, 0, 0, 0, 0, 0, 3, 21
"r:\Code\Javascript\Nextjs\foodica\src\components\ClickableTitle.tsx", "TypeScript JSX", 0, 24, 0, 0, 0, 0, 0, 0, 4, 28
"r:\Code\Javascript\Nextjs\foodica\src\components\FollowMe.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"r:\Code\Javascript\Nextjs\foodica\src\components\Footer\Footer.tsx", "TypeScript JSX", 0, 14, 0, 0, 0, 0, 0, 0, 2, 16
"r:\Code\Javascript\Nextjs\foodica\src\components\Footer\lower\LowerFooter.tsx", "TypeScript JSX", 0, 32, 0, 0, 0, 0, 0, 0, 2, 34
"r:\Code\Javascript\Nextjs\foodica\src\components\Footer\upper\Category.tsx", "TypeScript JSX", 0, 36, 0, 0, 0, 0, 0, 1, 2, 39
"r:\Code\Javascript\Nextjs\foodica\src\components\Footer\upper\UpperFooter.tsx", "TypeScript JSX", 0, 26, 0, 0, 0, 0, 0, 0, 2, 28
"r:\Code\Javascript\Nextjs\foodica\src\components\Header\FoodicaLogo\FoodicaLogo.tsx", "TypeScript JSX", 0, 14, 0, 0, 0, 0, 0, 0, 3, 17
"r:\Code\Javascript\Nextjs\foodica\src\components\Header\FoodicaLogo\Letter.tsx", "TypeScript JSX", 0, 66, 0, 0, 0, 0, 0, 0, 8, 74
